시도,군구,주소,충전소명,시설구분(대),시설구분(소),기종(대),기종(소),운영기관(대),운영기관(소),급속충전량,충전기타입,이용자제한,위도경도
경상남도,남해군,경상남도 남해군 설천면 노량리 410-36,한려해상국립공원사무소 노량분소,공공시설,공공기관,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"34.939704,127.875309"
경상남도,남해군,경상남도 남해군 설천면 노량리 410-36,한려해상국립공원사무소 노량분소,공공시설,공공기관,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"34.939704,127.875309"
경상남도,남해군,경상남도 남해군 이동면 보리암로 287,한려해상국립공원사무소 금산분소,공공시설,공공기관,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"34.773405,127.987807"
경상남도,남해군,경상남도 남해군 이동면 보리암로 287,한려해상국립공원사무소 금산분소,공공시설,공공기관,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"34.773405,127.987807"
경상북도,성주군,경상북도 성주군 수륜면 가야산식물원길 49,가야산 백운동 주차장,주차시설,공원주차장,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.8014618,128.1419992"
경상북도,성주군,경상북도 성주군 수륜면 가야산식물원길 49,가야산 백운동 주차장,주차시설,공원주차장,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.8014618,128.1419992"
부산광역시,강서구,부산광역시 강서구 가락대로 929,한국마사회 부산경남지역본부,공공시설,공공기관,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.1521204,128.8739107"
부산광역시,부산진구,부산광역시 부산진구 성지곡로 3,부산 어린이 대공원,관광시설,공원,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.1831134,129.0459801"
부산광역시,부산진구,부산광역시 부산진구 화지로 12,부산시 교육청,공공시설,공공기관,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.1761301,129.0639265"
부산광역시,연제구,부산광역시 연제구 거제동 1312,부산아시아드보조경기장VIP주차장,교육문화시설,경기장,급속,급속(100kW동시),환경부,환경부(협회),급속(100kW동시),DC차데모+AC3상+DC콤보,이용가능,"35.1883518,129.0555415"
부산광역시,연제구,부산광역시 연제구 거제동 1312,부산아시아드보조경기장VIP주차장,교육문화시설,경기장,급속,급속(100kW동시),환경부,환경부(협회),급속(100kW동시),DC차데모+AC3상+DC콤보,이용가능,"35.1883518,129.0555415"
부산광역시,연제구,부산광역시 연제구 거제동 1312,부산아시아드보조경기장VIP주차장,교육문화시설,경기장,급속,급속(100kW동시),환경부,환경부(협회),급속(100kW동시),DC콤보,이용가능,"35.1883518,129.0555415"
부산광역시,연제구,부산광역시 연제구 거제동 1312,부산아시아드보조경기장VIP주차장,교육문화시설,경기장,급속,급속(100kW동시),환경부,환경부(협회),급속(100kW동시),DC콤보,이용가능,"35.1883518,129.0555415"
부산광역시,연제구,부산광역시 연제구 거제동 1312,부산아시아드보조경기장VIP주차장,교육문화시설,경기장,급속,급속(100kW동시),환경부,환경부(협회),급속(100kW동시),DC콤보,이용가능,"35.1883518,129.0555415"
부산광역시,연제구,부산광역시 연제구 거제동 1312,부산아시아드보조경기장VIP주차장,교육문화시설,경기장,급속,급속(100kW동시),환경부,환경부(협회),급속(100kW동시),DC콤보,이용가능,"35.1883518,129.0555415"
경상남도,밀양시,경상남도 밀양시 삼랑진읍 삼랑진로 390,만포주유소,상업시설,주유소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.3986763,128.8194807"
경상남도,양산시,경상남도 양산시 신평강변8길 11,통도호텔,상업시설,숙박시설,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.4933035,129.0836632"
경상남도,양산시,경상남도 양산시 어곡터널로40,포유주유소,상업시설,주유소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.375148,129.031419"
경상남도,양산시,경상남도 양산시 물금읍 황산로501,S-oil 물금주유소,상업시설,주유소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.319283,128.994106"
경상남도,의령군,경상남도 의령군 의령읍 백산로4,중앙주유소,상업시설,주유소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.320263,128.2645"
울산광역시,북구,울산광역시 북구 산업로1103,울산공항,공공시설,공공기관,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.5935340,129.3563519"
경상남도,창원시,경상남도 창원시 장군동4가 3-6,마산의료원,근린생활시설,병원,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.199462,128.565332"
경상남도,창원시,경상남도 창원시 의창구 창원대로314,남광석유판매,상업시설,주유소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.2378687,128.6340877"
경상남도,창원시,경상남도 창원시 의창구 소계로 33,중앙모터스,차량정비시설,정비소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.25481,128.603051"
경상남도,합천군,경상남도 합천군 쌍백면 쌍백중앙로162-8,합천관광휴게소,휴게시설,지방도로 휴게소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.449674,128.14454"
